pageid,title,category
20727104,Category:Administrative software,business software
17799618,Category:Business simulation games,business software
14541812,Category:Business software companies,business software
37041135,Category:Business software for Linux,business software
41517954,Category:Business software for MacOS,business software
41517953,Category:Business software for Windows,business software
15459030,Category:Collaborative software,business software
24925014,Category:Dental practice management software,business software
45686490,Category:Enterprise software,business software
2504415,Category:ERP software,business software
8733307,Category:Financial software,business software
6702491,Category:Free business software,business software
3964070,Category:Health software,business software
21283046,Category:Healthcare software,business software
23785395,Category:Human resource management software,business software
3813661,Category:Java enterprise platform,business software
30303453,Category:Manufacturing software,business software
27490351,Category:Marketing software,business software
38739665,Category:MES software,business software
34292819,Category:Mobile business software,business software
21137368,Category:Office software,business software
30220188,Category:Portal software,business software
1706137,Category:Project management software,business software
29576811,Category:Publishing software,business software
2543335,Category:Reporting software,business software
9761144,Category:Risk management software,business software
38798197,Category:Service-oriented architecture-related products,business software
26651713,Category:Tax software,business software
53417207,Category:Telecommunications Billing Systems,business software
9186941,Category:Workflow technology,business software
23739219,Category:Industry-specific XML-based standards,business software
9622164,Category:Business software stubs,business software
21775024,Category:Club software,Administrative software
22516736,Category:School-administration software,Administrative software
44406061,Category:Time-tracking software,Administrative software
27721340,Category:Amusement park simulation games,Business simulation games
44922677,Category:M.U.L.E.,Business simulation games
13216268,Category:Roller coaster games and simulations,Business simulation games
10085953,Category:Sports management video games,Business simulation games
18101218,Category:Trade simulation games,Business simulation games
39703106,Category:Transport Tycoon,Business simulation games
11585310,Category:Zoo Tycoon,Business simulation games
7822995,Category:Financial software companies,Business software companies
42389223,Category:Accounting software for Linux,Business software for Linux
42389288,Category:Enterprise resource planning software for Linux,Business software for Linux
48566259,Category:Healthcare software for Linux,Business software for Linux
41783273,Category:Office suites for Linux,Business software for Linux
48382404,Category:CRM-software for MacOS,Business software for MacOS
48566277,Category:Healthcare software for MacOS,Business software for MacOS
48566248,Category:Healthcare software for Windows,Business software for Windows
42627299,Category:Collaborative software for Linux,Collaborative software
1259687,Category:Groupware,Collaborative software
5354325,Category:Free groupware,Collaborative software
1967885,Category:Collaborative real-time editors,Collaborative software
850706,Category:Wiki software,Collaborative software
6702479,Category:Free ERP software,ERP software
3502238,Category:Enterprise application integration,ERP software
12840698,Category:ERP software companies,ERP software
2700037,Category:Microsoft Dynamics,ERP software
12840821,Category:Supply chain software companies,ERP software
30935868,Category:Enterprise resource planning terminology,ERP software
2504403,Category:Accounting software,Financial software
34169082,Category:Computer-aided audit tools,Financial software
27636931,Category:Cost analysis software,Financial software
28094408,Category:Financial markets software,Financial software
15629646,Category:Free finance software,Financial software
9635033,Category:Investment club software,Financial software
50046144,Category:Microfinance software,Financial software
8384200,Category:Free accounting software,Free business software
15097902,Category:Free customer relationship management software,Free business software
38195913,Category:Free e-commerce software,Free business software
34474836,Category:Free content management systems,Free business software
54385025,Category:Free static website generators,Free business software
21253070,Category:Free office software,Free business software
6702281,Category:Free project management software,Free business software
14807490,Category:Free reporting software,Free business software
45087045,Category:Behavioral experimentation software,Health software
20739972,Category:Disability software,Health software
27973215,Category:Health video games,Health software
35632148,Category:Public health and biosurveillance software,Health software
43523123,Category:Repetitive strain injury software,Health software
13226129,Category:Dental software,Healthcare software
41130974,Category:DICOM software,Healthcare software
35632160,Category:Electronic health record software,Healthcare software
45267960,Category:Electronic health records,Healthcare software
34594700,Category:Free healthcare software,Healthcare software
21420335,Category:Medical software,Healthcare software
1625286,Category:MUMPS programming language family,Healthcare software
40615047,Category:Automatic Data Processing,Human resource management software
23785680,Category:Free human resource management software,Human resource management software
19539605,Category:JavaServer Faces,Java enterprise platform
15097900,Category:Customer relationship management software,Marketing software
46574579,Category:Mobile sales enablement systems,Marketing software
6521632,Category:Search engine software,Marketing software
691651,Category:Content management systems,Office software
28655967,Category:Email clients,Office software
41873467,Category:Office document file formats,Office software
1779405,Category:Office suites,Office software
1082194,Category:Presentation software,Office software
14595434,Category:Spreadsheet software,Office software
17650119,Category:Typing software,Office software
695124,Category:Word processors,Office software
43079230,Category:GitHub,Project management software
1520031,Category:Mind-mapping software,Project management software
31489607,Category:Project hosting websites,Project management software
28420362,Category:Task management software,Project management software
696153,Category:Desktop publishing software,Publishing software
41634410,Category:Workflow software,Workflow technology
32008475,Category:Word processor stubs,Business software stubs
